Date,Longitude (deg E),Latitude (deg N),Wildfire radiative power (Gigawatts per day)
20190601,-51.650000,67.350000,0.0024959217
20190601,-51.650000,67.850000,0.0079724667
20190601,70.950000,66.150000,0.012928782
20190601,70.950000,66.250000,0.029266458
20190601,71.050000,66.150000,0.011182455
20190601,72.450000,67.850000,0.025263277
20190601,72.550000,67.750000,0.010959118
20190601,72.550000,67.850000,0.057778228
20190601,130.55000,67.950000,0.00080382502
20190601,152.45000,68.650000,0.0019620571
20190602,-51.650000,67.850000,0.0079724667
20190602,70.950000,66.150000,0.0029329719
20190602,70.950000,66.250000,0.0032588998
20190602,71.050000,66.150000,0.00082843173
20190602,72.450000,67.750000,0.017475487
20190602,72.450000,67.850000,0.0027628622
20190602,72.550000,67.750000,0.021425278
20190602,72.550000,67.850000,0.10523302
20190602,77.150000,66.350000,0.0049694278
20190602,77.250000,66.250000,0.012366482
20190602,78.650000,66.250000,0.0035266112
20190602,78.750000,66.250000,0.031950689
20190602,80.250000,67.150000,0.0094522398
20190602,80.350000,67.150000,0.0081522272
20190602,83.250000,67.250000,0.0089737922
20190602,83.650000,68.450000,0.017080759
20190602,135.55000,67.750000,0.0043600077
20190602,155.15000,68.550000,0.0048761764
20190603,-51.650000,67.850000,0.0079724667
20190603,56.650000,67.150000,0.0012794405
20190603,70.950000,66.150000,0.010428696
20190603,70.950000,66.250000,0.017828917
20190603,71.050000,66.150000,0.0012307589
20190603,71.050000,66.250000,0.0050446670
20190603,72.450000,67.750000,0.0052984051
20190603,72.550000,67.750000,0.034786241
20190603,72.550000,67.850000,0.045360685
20190603,77.150000,66.450000,0.0042230921
20190603,77.250000,66.250000,0.010246707
20190603,77.250000,66.450000,0.0060838791
20190603,78.750000,66.250000,0.042516557
20190603,79.950000,68.550000,0.042392285
20190603,80.250000,67.150000,0.0028861088
20190603,83.150000,67.350000,0.0042690747
20190603,83.250000,67.250000,0.0098431587
20190603,83.650000,68.450000,0.0014745899
20190603,134.75000,67.750000,0.015007815
20190603,135.55000,67.650000,0.0029246482
20190603,135.55000,67.750000,0.0043661406
20190603,155.25000,68.450000,0.013860440
20190603,155.35000,68.550000,0.027478878
20190604,-50.450000,67.150000,0.0053497189
20190604,55.750000,67.250000,0.0093241267
20190604,70.950000,66.150000,0.0070925033
20190604,70.950000,66.250000,0.0022385636
20190604,72.450000,67.750000,0.0052984051
20190604,72.550000,67.750000,0.023010930
20190604,72.550000,67.850000,0.042377231
20190604,76.150000,67.050000,0.0024245228
20190604,76.950000,66.250000,0.0059827656
20190604,77.050000,66.150000,0.0018608550
20190604,77.250000,66.250000,0.0093241458
20190604,77.550000,66.350000,0.0076359189
20190604,78.650000,66.250000,0.0023068882
20190604,78.750000,66.250000,0.062932055
20190604,79.950000,68.550000,0.064215298
20190604,83.150000,67.350000,0.0076213484
20190604,83.250000,67.250000,0.010276476
20190604,83.650000,68.450000,0.017181654
20190604,131.75000,69.550000,0.016991875
20190604,131.75000,69.650000,0.010020571
20190604,134.75000,67.750000,0.0015034052
20190604,155.25000,68.450000,0.0023675636
20190604,155.35000,68.550000,0.0052316328
20190605,-50.450000,67.150000,0.0053497189
20190605,22.550000,67.550000,0.0022613333
20190605,55.750000,67.250000,0.0023064040
20190605,57.950000,68.650000,0.0022951610
20190605,58.950000,67.850000,0.0021951746
20190605,70.950000,66.150000,0.0070925033
20190605,70.950000,66.250000,0.0020136609
20190605,72.450000,67.750000,0.0052984051
20190605,72.550000,67.750000,0.0072486871
20190605,72.550000,67.850000,0.018685497
20190605,76.950000,66.250000,0.0027486107
20190605,77.050000,66.450000,0.0015057059
20190605,77.250000,66.250000,0.0093091337
20190605,77.450000,66.750000,0.0021508106
20190605,77.550000,66.350000,0.00097362324
20190605,78.750000,66.250000,0.044595306
20190605,79.950000,68.550000,0.051483482
20190605,83.150000,67.350000,0.017113167
20190605,83.250000,67.250000,0.012006289
20190605,83.650000,68.450000,0.0017220831
20190605,131.75000,69.550000,0.0029599431
20190605,131.75000,69.650000,0.0017930002
20190606,-134.95000,67.150000,0.0015288056
20190606,-50.450000,67.150000,0.0053497189
20190606,26.650000,67.850000,0.00099931074
20190606,57.950000,68.650000,0.0012771371
20190606,70.950000,66.150000,0.019720740
20190606,71.050000,66.250000,0.059860094
20190606,76.850000,66.050000,0.0017879622
20190606,76.950000,66.150000,0.0040963737
20190606,77.050000,66.250000,0.0028411627
20190606,77.050000,66.450000,0.0019695298
20190606,77.050000,66.550000,0.0048440052
20190606,77.150000,66.450000,0.0019579052
20190606,77.250000,66.250000,0.0070968671
20190606,78.750000,66.250000,0.042137771
20190606,79.950000,68.550000,0.080057492
20190606,80.250000,67.150000,0.0026834794
20190606,83.150000,67.250000,0.0057073773
20190606,83.150000,67.350000,0.024817088
20190606,83.250000,67.250000,0.025947574
20190606,83.650000,68.450000,0.0065608563
20190606,129.95000,67.150000,0.0020426799
20190606,134.75000,67.750000,0.0024203145
20190606,135.45000,67.650000,0.0051269950
20190606,135.55000,67.650000,0.053760649
20190606,135.95000,67.650000,0.012085812
20190606,153.35000,67.550000,0.011664157
20190607,-50.450000,67.150000,0.0053497189
20190607,-27.950000,71.850000,0.022893867
20190607,55.650000,67.250000,0.0018243469
20190607,56.650000,67.150000,0.00055152162
20190607,57.950000,68.650000,0.0027588289
20190607,72.550000,67.850000,0.0059964295
20190607,76.950000,66.150000,0.0046207845
20190607,77.050000,66.150000,0.0036337674
20190607,77.050000,66.450000,0.0031237718
20190607,77.050000,67.750000,0.0011596368
20190607,77.250000,66.250000,0.0069032668
20190607,77.350000,66.750000,0.0018491698
20190607,77.450000,66.750000,0.0033232200
20190607,78.750000,66.250000,0.036534226
20190607,79.950000,68.550000,0.093723215
20190607,83.150000,67.350000,0.020922926
20190607,83.250000,67.250000,0.015741462
20190607,83.650000,68.450000,0.00075332640
20190607,128.95000,67.850000,0.0029228808
20190607,129.95000,67.150000,0.0042725656
20190607,130.05000,67.050000,0.00089652469
20190607,135.55000,67.650000,0.0048787615
20190607,135.55000,67.750000,0.011048006
20190607,135.65000,67.750000,0.0028471515
20190607,135.95000,67.650000,0.0037996898
20190607,153.35000,67.550000,0.0010767957
20190608,-150.25000,67.550000,0.0015171270
20190608,-50.450000,67.150000,0.0053497189
20190608,-27.950000,71.850000,0.022893867
20190608,33.950000,68.450000,0.0056998399
20190608,55.750000,67.250000,0.010662027
20190608,57.950000,68.650000,0.0027588289
20190608,70.950000,66.150000,0.017511146
20190608,70.950000,66.250000,0.023904112
20190608,71.050000,66.250000,0.0060437687
20190608,72.450000,67.750000,0.0067671285
20190608,72.450000,67.850000,0.0019946189
20190608,72.550000,67.750000,0.0073609961
20190608,72.550000,67.850000,0.026668161
20190608,76.950000,66.150000,0.0030607825
20190608,77.050000,66.150000,0.0069726051
20190608,77.050000,66.250000,0.0022254425
20190608,77.050000,66.450000,0.0037414255
20190608,77.050000,67.750000,0.0031001421
20190608,77.250000,66.250000,0.0066115960
20190608,77.450000,66.750000,0.0016785005
20190608,78.750000,66.250000,0.036650197
20190608,79.950000,68.550000,0.066914232
20190608,80.150000,67.850000,0.0030733875
20190608,83.150000,67.350000,0.015340185
20190608,83.250000,67.250000,0.015942916
20190608,83.650000,68.450000,0.033511180
20190608,130.05000,67.150000,0.00064346401
20190608,130.35000,69.850000,0.0029241755
20190608,130.45000,69.850000,0.0057559948
20190608,134.35000,69.150000,0.0018588443
20190608,134.45000,69.150000,0.012903504
20190608,135.45000,67.650000,0.060521217
20190608,135.45000,67.750000,0.0058848625
20190608,135.55000,67.650000,0.020238619
20190608,135.55000,67.750000,0.025782990
20190608,135.85000,67.650000,0.0025363178
20190608,135.95000,67.650000,0.018627706
20190608,139.95000,69.550000,0.0018364630
20190608,153.45000,67.550000,0.0027636637
20190609,-150.25000,67.550000,0.0011818503
20190609,-50.450000,67.150000,0.0053497189
20190609,-27.950000,71.850000,0.022893867
20190609,33.950000,68.450000,0.0056998399
20190609,55.750000,67.250000,0.0012118471
20190609,70.950000,66.150000,0.0041032457
20190609,70.950000,66.250000,0.0085635596
20190609,71.050000,66.250000,0.0017061145
20190609,72.450000,67.750000,0.0021291937
20190609,72.550000,67.750000,0.0028248853
20190609,72.550000,67.850000,0.024240042
20190609,76.850000,66.050000,0.00079312514
20190609,76.850000,66.150000,0.0011525299
20190609,76.950000,66.150000,0.0041443645
20190609,77.050000,66.150000,0.0078490332
20190609,77.050000,67.750000,0.0018175306
20190609,77.250000,66.250000,0.0085393011
20190609,78.650000,66.250000,0.0020517590
20190609,78.750000,66.250000,0.039449058
20190609,79.950000,68.550000,0.039878588
20190609,80.050000,67.850000,0.0015578253
20190609,80.150000,67.850000,0.00068697102
20190609,83.150000,67.250000,0.0032533286
20190609,83.150000,67.350000,0.013624322
20190609,83.250000,67.250000,0.025900225
20190609,83.650000,68.450000,0.0039159136
20190609,130.45000,69.850000,0.00059886157
20190609,132.95000,66.650000,0.019601258
20190609,134.35000,69.250000,0.0022190751
20190609,134.45000,69.150000,0.0010683751
20190609,134.45000,69.250000,0.0027058820
20190609,134.65000,67.750000,0.0053031288
20190609,134.75000,67.750000,0.038308251
20190609,135.45000,67.650000,0.22070579
20190609,135.55000,67.650000,0.058242624
20190609,135.55000,67.750000,0.0067499067
20190609,135.55000,67.850000,0.0018632171
20190609,135.65000,67.750000,0.040707416
20190609,135.75000,67.350000,0.0010015686
20190609,135.85000,67.650000,0.14025864
20190609,135.95000,67.650000,0.24799649
20190610,-50.450000,67.150000,0.0053497189
20190610,-27.950000,71.850000,0.022893867
20190610,33.950000,68.450000,0.0056998399
20190610,55.750000,67.250000,0.0012118473
20190610,70.950000,66.150000,0.0041032457
20190610,70.950000,66.250000,0.0085635596
20190610,71.050000,66.250000,0.0017061147
20190610,72.450000,67.750000,0.0021291939
20190610,72.550000,67.750000,0.0028248855
20190610,72.550000,67.850000,0.024240042
20190610,76.850000,66.050000,0.00079312514
20190610,76.850000,66.150000,0.0011525301
20190610,76.950000,66.150000,0.0041443645
20190610,77.050000,66.150000,0.0078490340
20190610,77.050000,67.750000,0.0018175306
20190610,77.250000,66.250000,0.0064543322
20190610,78.650000,66.250000,0.0020517590
20190610,78.750000,66.250000,0.027754899
20190610,79.950000,68.550000,0.039878588
20190610,80.050000,67.850000,0.0015578255
20190610,80.150000,67.850000,0.00068697120
20190610,83.150000,67.250000,0.0032533286
20190610,83.150000,67.350000,0.013624322
20190610,83.250000,67.250000,0.025900225
20190610,83.650000,68.450000,0.0039159140
20190610,129.95000,68.050000,0.0014098212
20190610,132.15000,69.450000,0.00081282738
20190610,132.15000,69.550000,0.0056516731
20190610,132.95000,66.650000,0.0049944380
20190610,133.15000,67.450000,0.011093254
20190610,134.35000,69.250000,0.28799440
20190610,134.35000,69.350000,0.0072881895
20190610,134.45000,69.250000,0.25186196
20190610,134.45000,69.350000,0.0042590335
20190610,134.55000,67.750000,0.044384528
20190610,134.65000,67.750000,0.31420356
20190610,134.75000,67.750000,0.32896744
20190610,134.85000,67.750000,0.0099148010
20190610,135.45000,67.650000,0.050364756
20190610,135.45000,67.750000,0.066370335
20190610,135.55000,67.650000,0.0046993013
20190610,135.55000,67.750000,0.0059215259
20190610,135.65000,67.750000,0.026120742
20190610,135.65000,67.850000,0.0022500441
20190610,135.75000,67.350000,0.17321508
20190610,135.75000,67.450000,0.024831392
20190610,135.75000,67.750000,0.019319008
20190610,135.85000,67.650000,0.72878226
20190610,135.85000,67.750000,0.18694630
20190610,135.95000,67.650000,0.82147212
20190610,135.95000,67.750000,0.91566900
20190610,136.05000,67.650000,0.093167287
20190611,-142.05000,66.850000,0.0021399873
20190611,-51.850000,67.350000,0.0033064870
20190611,-50.450000,66.950000,0.012840703
20190611,55.750000,67.250000,0.0012118473
20190611,70.950000,66.150000,0.0041032457
20190611,70.950000,66.250000,0.0085635603
20190611,71.050000,66.250000,0.0017061147
20190611,72.450000,67.750000,0.0021291939
20190611,72.550000,67.750000,0.0028248858
20190611,72.550000,67.850000,0.024240042
20190611,76.850000,66.050000,0.00079312514
20190611,76.850000,66.150000,0.0011525301
20190611,76.950000,66.150000,0.0041443645
20190611,77.050000,66.150000,0.0078490340
20190611,77.050000,67.750000,0.0018175310
20190611,77.250000,66.250000,0.0016953723
20190611,78.650000,66.250000,0.00078195593
20190611,78.750000,66.250000,0.027754899
20190611,79.950000,68.550000,0.055041550
20190611,80.050000,67.850000,0.0015578259
20190611,80.150000,67.850000,0.00068697120
20190611,83.150000,67.250000,0.0032533286
20190611,83.150000,67.350000,0.013624323
20190611,83.250000,67.250000,0.025900228
20190611,83.650000,68.450000,0.0039159143
20190611,130.15000,68.050000,0.00075601442
20190611,132.15000,69.550000,0.00058403103
20190611,132.95000,66.250000,0.013132232
20190611,132.95000,66.650000,0.043653999
20190611,133.05000,66.650000,0.0019166178
20190611,133.05000,67.450000,0.00097119681
20190611,133.15000,67.450000,0.044720883
20190611,133.15000,67.550000,0.014699783
20190611,134.25000,69.250000,0.0025660080
20190611,134.35000,69.250000,0.10597344
20190611,134.35000,69.350000,0.00079249181
20190611,134.45000,69.250000,0.037406562
20190611,134.45000,69.350000,0.50665384
20190611,134.55000,67.750000,0.12128294
20190611,134.55000,67.850000,0.025185012
20190611,134.55000,69.350000,0.059581484
20190611,134.55000,69.450000,0.0023612249
20190611,134.65000,67.750000,0.23985552
20190611,134.65000,67.850000,0.91207678
20190611,134.75000,67.750000,0.070372683
20190611,134.85000,67.750000,0.73850104
20190611,134.95000,67.750000,0.032949326
20190611,135.45000,67.650000,0.0058326403
20190611,135.45000,67.750000,0.0091257157
20190611,135.55000,67.750000,0.00072348489
20190611,135.65000,67.250000,0.0018519756
20190611,135.65000,67.750000,0.0031241623
20190611,135.65000,67.850000,0.065469534
20190611,135.75000,67.350000,0.026327145
20190611,135.75000,67.450000,0.029449449
20190611,135.75000,67.650000,0.23765010
20190611,135.75000,67.750000,1.6861189
20190611,135.85000,67.650000,0.25971975
20190611,135.85000,67.750000,1.8893749
20190611,135.95000,67.650000,0.11869965
20190611,135.95000,67.750000,0.90226035
20190611,136.05000,67.650000,0.85330753
20190611,136.05000,67.750000,1.0927953
20190611,136.15000,67.650000,0.056792378
20190611,146.05000,66.850000,0.0093657374
20190611,146.35000,66.850000,0.0070711823
20190612,-51.850000,67.350000,0.0033064870
20190612,-50.450000,66.950000,0.012840703
20190612,71.050000,66.150000,0.020952119
20190612,72.550000,67.850000,0.099031652
20190612,76.850000,66.050000,0.00079312514
20190612,76.850000,66.150000,0.0011525301
20190612,76.950000,66.150000,0.0041443645
20190612,77.050000,66.150000,0.0078490340
20190612,77.250000,66.250000,0.0016953723
20190612,78.650000,66.250000,0.00078195593
20190612,78.750000,66.250000,0.027754899
20190612,79.950000,68.550000,0.0082618298
20190612,83.150000,67.250000,0.0032533286
20190612,83.150000,67.350000,0.013624323
20190612,83.250000,67.250000,0.025900228
20190612,83.650000,68.450000,0.0039159143
20190612,130.15000,68.050000,0.00091312478
20190612,130.25000,68.050000,0.0026463346
20190612,131.45000,68.350000,0.050827576
20190612,131.55000,68.350000,0.014317429
20190612,131.85000,66.950000,0.0024437618
20190612,131.85000,67.050000,0.0013862610
20190612,132.95000,66.250000,0.024945689
20190612,132.95000,66.650000,0.023882924
20190612,133.05000,66.650000,0.0041097848
20190612,133.05000,67.450000,0.0011040242
20190612,133.15000,67.450000,0.016716981
20190612,133.15000,67.550000,0.036915735
20190612,133.25000,67.550000,0.0056291009
20190612,134.25000,69.150000,0.00071795804
20190612,134.25000,69.250000,0.0013284818
20190612,134.35000,69.250000,0.017661481
20190612,134.35000,69.350000,0.0018977205
20190612,134.45000,69.250000,0.035231979
20190612,134.45000,69.350000,0.058245453
20190612,134.55000,67.750000,0.078521126
20190612,134.55000,67.850000,0.068474072
20190612,134.55000,69.350000,0.36008968
20190612,134.55000,69.450000,0.40599491
